ID,Name,Seed,Deprecated,BPI Off,BPI Def,Record W,Record L,Conference W,Conference L,Vs Top 25 W,Vs Top 25 L,Last 10 W,Last 10 L,SOS Rank,SOR Rank,PPG,Opposing PPG,Field Goal Percentage,Three-Point Percentage,Free Throw Percentage
1,Alabama,1,,8.1,10.8,29,5,16,2,7,4,8,2,10,1,82.18,68.5,44.6,33.8,72.6
2,TXCC/SEMO,16,,,,,,,,,,,,,,,,,,
3,Maryland,8,,6.5,5.9,21,12,11,9,5,4,5,5,38,38,70.36,63.15,44.9,33,73.9
4,West Virginia,9,,8.2,3.9,19,14,7,11,4,8,5,5,6,30,76.3,71.03,45.3,34.8,74.1
5,San Diego St,5,,4.6,7.4,27,6,15,3,0,2,9,1,73,15,72.06,63.61,44.4,35.3,73.2
6,Charleston,12,,4.2,4.1,31,3,16,2,0,1,10,0,320,36,80.79,67.35,43.8,33.4,74.1
7,Virginia,4,,5.2,6.9,25,7,15,5,3,3,7,3,58,17,67.81,60.25,44.9,35.3,70.1
8,Furman,13,,6,-0.8,27,7,15,3,0,0,9,1,303,84,82.09,71.21,48.3,34.7,74.1
9,Creighton,6,,7.8,6.1,,,,,,,,,28,32,,,,,
10,NC State,11,,5.9,3.6,,,,,,,,,69,41,,,,,
11,Baylor,3,,10.7,3.2,22,10,11,7,5,5,6,4,4,10,77.16,70.25,44.7,37.2,74.9
12,UCSB,14,,3.1,-0.5,27,7,15,5,0,0,7,3,321,89,72.18,65.62,49.4,35.2,72.8
13,Missouri,7,,8.3,0.3,24,9,11,7,6,4,7,3,35,16,79.48,74.58,47.3,36.1,75.8
14,Utah State,10,,7.2,2.8,26,8,13,5,0,2,7,3,91,34,78.56,69.71,48,39.3,76.4
15,Arizona,2,,10.1,4.4,,,,,,,,,47,8,,,,,
16,Princeton,15,,2.5,1,,,,,,,,,229,97,,,,,
17,Purdue,1,,9.5,6.4,29,5,15,5,3,2,7,3,18,3,73.09,62.74,45.9,32.6,74.3
18,TXSO/FDU,16,,,,,,,,,,,,,,,,,,
19,Memphis,8,,5.8,5.8,26,8,13,5,2,3,8,2,57,18,79.79,71.94,48,35.6,74.7
20,FAU,9,,5.8,4.6,31,3,18,2,0,0,9,1,177,22,78.79,64.97,47.2,37.2,71.6
21,Duke,5,,6.2,6.4,,,,,,,,,49,14,,,,,
22,Oral Roberts,12,,5.8,0.6,,,,,,,,,286,42,,,,,
23,Tennessee,4,,6.3,12.4,23,10,11,7,5,3,4,6,33,23,71.79,58.03,43.7,32.9,71.4
24,Louisiana,13,,4.8,-0.4,26,7,13,5,0,1,7,3,208,67,78.03,69.82,48.4,37.8,68.4
25,Kentucky,6,,8.2,4.5,21,11,12,6,2,4,6,4,24,27,75.06,68.03,45.9,35.4,70.3
26,Providence,11,,7.5,2.6,21,11,13,7,3,5,4,6,56,46,78.09,71.31,45.9,35.1,74.5
27,Kansas St,3,,4,7.1,19,12,11,8,4,4,5,5,19,13,70.23,67.39,45,39.5,76.2
28,Montana St,14,,1.2,2.4,22,10,14,6,2,4,6,4,240,99,72.78,67.25,45.7,34.5,74.4
29,Michigan St,7,,4.9,5.3,19,12,11,8,4,4,5,5,5,25,70.23,67.39,45,39.5,76.2
30,USC,10,,4.4,4.5,22,10,14,6,2,4,6,4,61,35,72.78,67.25,45.7,34.5,74.4
31,Marquette,2,,8.7,4.6,28,6,17,3,7,2,9,1,37,7,79.94,70.59,48.7,34.8,72.1
32,Vermont,15,,4.2,0.3,23,10,14,2,0,0,10,0,180,103,73.03,66.61,47.5,35.9,69.7
33,Houston,1,,10,11.1,31,3,17,1,1,1,9,1,83,6,75.03,56.5,46.2,34.5,71.9
34,N Kentucky,16,,-0.8,2,22,12,14,6,0,0,7,3,254,138,68.24,63.56,43.2,35,69.2
35,Iowa,8,,10,0.8,19,13,11,9,3,2,5,5,16,48,80.22,74.41,45.4,34.3,73.9
36,Auburn,9,,5.3,6.5,20,12,10,8,2,3,3,7,21,33,72.72,67.06,44.1,31.4,70.2
37,Miami,5,,9,1.3,,,,,,,,,66,20,,,,,
38,Drake,12,,4,4.9,,,,,,,,,182,61,,,,,
39,Indiana,4,,6.8,5.7,22,11,12,8,5,2,6,4,11,21,75.03,68.45,49,37,71.2
40,Kent State,13,,1.7,5.6,28,6,15,3,0,2,9,1,176,50,76.62,65.71,45.4,33.6,72.5
41,Iowa State,6,,3.1,8.8,19,13,9,9,9,5,3,7,3,24,68.44,62.75,45,33.9,67.4
42,MSST/PITT,11,,,,,,,,,,,,,,,,,,
43,Xavier,3,,9,3.3,25,9,15,5,6,5,6,4,27,12,81.41,74.06,49.4,39.5,71.4
44,Kennesaw St,14,,-0.5,2.3,26,8,15,3,0,1,8,2,190,74,75.26,68.91,46.2,36.8,66.2
45,Texas A&M,7,,6.4,6,25,9,15,3,4,1,8,2,45,19,73.24,66.21,43.5,32.8,75.9
46,Penn State,10,,7.9,1.6,22,13,11,10,3,3,8,2,17,29,72.31,68.4,46.4,38.5,73.8
47,Texas,2,,7.9,8.7,26,8,12,6,9,6,7,3,8,4,77.85,67.41,46.8,33.9,75.2
48,Colgate,15,,6,-1.4,26,8,17,1,0,1,9,1,336,110,78.59,68.97,51.4,40.7,65.7
49,Kansas,1,,6.7,7.8,,,,,,,,,1,2,,,,,
50,Howard,16,,-1.6,-1.3,,,,,,,,,311,168,,,,,
51,Arkansas,8,,4.8,8.1,20,13,8,10,2,8,4,6,23,43,74.42,67.39,47.5,31.7,69
52,Illinois,9,,4.7,6.6,20,12,11,9,5,4,4,6,31,37,74.66,66.97,45.1,30.9,68
53,Saint Mary's,5,,4.8,7.6,26,7,14,2,2,3,7,3,98,31,71.36,60.12,45.8,37.2,69.3
54,VCU,12,,1.2,7.7,27,7,15,3,0,0,9,1,116,49,71.44,62.91,46.5,34.7,69.7
55,UConn,4,,8.8,7.5,,,,,,,,,40,11,,,,,
56,Iona,13,,4.9,4.1,,,,,,,,,300,79,,,,,
57,TCU,6,,4.9,6.7,21,12,9,9,6,7,4,6,13,26,75.18,67.91,45.7,30.6,70.1
58,ASU/NEV,11,,,,,,,,,,,,,,,,,,
59,Gonzaga,3,,12.8,2.6,28,5,14,2,4,4,9,1,76,9,87.52,72.91,52.9,38.7,70.1
60,Grand Canyon,14,,4.4,0.6,24,11,11,7,0,0,7,3,168,105,75.31,66.83,46.3,38.4,71.6
61,Northwestern,7,,2.3,7.8,21,11,12,8,4,1,6,4,30,28,67.66,62.47,40.6,32.1,75.1
62,Boise St,10,,3.5,6,24,9,13,5,1,1,6,4,78,39,72.24,64.33,45.5,36.5,73.5
63,UCLA,2,,7,10.7,,,,,,,,,48,5,,,,,
64,UNC Asheville,15,,-0.1,1.7,,,,,,,,,292,80,,,,,
