ID,Name,Seed,Deprecated,BPI Off,BPI Def,Record W,Record L,Conference W,Conference L,Vs Top 25 W,Vs Top 25 L,Last 10 W,Last 10 L,SOS Rank,SOR Rank,PPG,Opposing PPG,Field Goal Percentage,Three-Point Percentage,Free Throw Percentage
55,Kansas,4,,5.9,7.4,22,10,10,8,,,4,6,,,75.25,68.69,48.8,32.9,72.7
56,Samford,13,,4.4,1.1,29,5,15,3,,,8,2,,,85.97,73.94,49.3,39.3,72.8
57,South Carolina,6,,4.5,4.4,26,7,13,5,,,6,4,,,72.03,66.97,43.9,33.5,71.4
58,Oregon,11,,5.4,3.1,23,11,12,8,,,7,3,,,75.32,71.85,45.7,33.6,71.5
59,Creighton,3,,10.6,5.8,23,9,14,6,,,7,3,,,80.53,69.72,48.6,36.1,78.1
60,Akron,14,,1.7,2.9,24,10,13,5,,,6,4,,,74.03,65.85,45.6,32.9,72.8
61,Texas,7,,7.5,4.9,20,12,9,9,,,5,5,,,76.53,69.88,47.4,36.2,75.7
62,Colorado St,10,,5.7,2.4,25,10,10,8,,,6,4,,,76.09,67.6,49,34.1,75.3
63,Tennessee,2,,7.5,10.2,24,8,14,4,,,7,3,,,79.47,67.88,44.4,34.2,74.9
64,Saint Peter's,15,,-4.9,3.2,19,13,12,8,,,8,2,,,65.34,63.44,39.7,33.2,71.3
