ID,Name,Seed,Deprecated,BPI Off,BPI Def,Record W,Record L,Conference W,Conference L,Vs Top 25 W,Vs Top 25 L,Last 10 W,Last 10 L,SOS Rank,SOR Rank,PPG,Opposing PPG,Field Goal Percentage,Three-Point Percentage,Free Throw Percentage
1,UConn,1,,13,7.3,31,3,18,2,,,9,1,,,81.47,64.41,49.6,36.7,74.2
2,Stetson,16,,3.5,-4.4,22,12,11,5,,,8,2,,,77.5,72.79,46.7,37,76.6
3,FAU,8,,9.5,1.7,25,8,14,4,,,7,3,,,82.55,73.27,48.1,35.6,71.8
4,Northwestern,9,,6.8,3.4,21,11,12,8,,,6,4,,,73.69,69,45.9,39.4,74.8
5,San Diego St,5,,3.7,7.5,24,10,11,7,,,6,4,,,74.59,66.56,44,31.3,73.3
6,UAB,12,,3.2,0.3,23,11,12,6,,,7,3,,,77.82,75.24,45.1,32.6,74.6
7,Auburn,4,,10,8.9,27,7,13,5,,,8,2,,,83.32,68.03,47.5,35.2,75.2
8,Yale,13,,4.3,3.6,22,9,11,3,,,7,3,,,75.16,66.61,47,34.7,70.9
9,BYU,6,,9.4,4.6,23,10,10,8,,,6,4,,,81.85,69.91,46.2,34.8,73.8
10,Duquesne,11,,0.7,5.3,24,11,10,8,,,9,1,,,70.77,66.03,43.7,34,71.8
11,Illinois,3,,11.4,4.4,26,8,14,6,,,8,2,,,84.41,73.79,47.1,35,74.5
12,Morehead St,14,,2.2,3,26,8,14,4,,,7,3,,,75.47,62.79,47,36.1,70.5
13,Washington St,7,,4.6,5.1,24,9,14,6,,,7,3,,,74.3,66.88,46.6,34,70.1
14,Drake,10,,6.2,2.7,28,6,16,4,,,9,1,,,80.47,70.5,47.9,36.7,76
15,Iowa State,2,,6.5,11.7,27,7,13,5,,,8,2,,,75.56,61.29,46.3,34.9,69.7
16,S Dakota St,15,,2,-0.8,22,12,12,4,,,9,1,,,76.76,70.82,48.3,36.3,70.8
17,North Carolina,1,,8.2,8,27,7,17,3,,,8,2,,,81.47,70.24,44.9,35.4,75.4
18,Wagner,16,,-6,0.6,17,15,7,9,,,6,4,,,63.78,62.28,39.6,32.6,70.7
19,Mississippi St,8,,4.6,7,21,13,8,10,,,5,5,,,74.76,69.06,45.5,32.5,67.2
20,Michigan St,9,,5.3,8.2,19,14,10,10,,,5,5,,,73.12,65.94,46.1,35.9,70.6
21,Saint Mary's,5,,5.9,8.5,26,7,15,1,,,9,1,,,74.24,58.73,46.9,35.5,67.8
22,Grand Canyon,12,,4.7,3.8,29,4,17,3,,,8,2,,,79.79,66.91,46.5,34.4,75.3
23,Alabama,4,,13.2,3.1,21,11,13,5,,,5,5,,,90.75,81.06,47.7,36.5,78.4
24,Charleston,13,,4.8,0.7,27,7,15,3,,,10,0,,,80.47,72.53,44.3,34.5,72
25,Clemson,6,,7.6,4.1,21,11,11,9,,,6,4,,,77.41,71.31,46.8,35.4,79
26,New Mexico,11,,4.2,5.4,26,9,10,8,,,6,4,,,81.71,70.51,46,33.4,70.9
27,Baylor,3,,11.8,3.2,23,10,11,7,,,6,4,,,80.55,71.21,48.3,38.8,73.6
28,Colgate,14,,0.9,3.2,25,9,16,2,,,9,1,,,71.5,63.24,47,36.1,68.1
29,Dayton,7,,7.8,3.7,24,7,14,4,,,6,4,,,74.74,66.29,47.7,40.2,73.4
30,Nevada,10,,5,3.8,26,7,13,5,,,8,2,,,76.42,67.06,47.5,36.5,72.1
31,Arizona,2,,10.7,7.8,25,8,15,5,,,7,3,,,87.94,72.24,48.9,37.1,71.9
32,Long Beach St,15,,0.5,-1,21,14,10,10,,,5,5,,,77.74,75.71,44.7,30.8,71.1
33,Houston,1,,8.9,14,30,4,15,3,,,9,1,,,73.03,56.97,43.4,34.7,69.4
34,Longwood,16,,0.6,1.1,21,13,6,10,,,7,3,,,75.56,67.94,45.6,34.3,68.1
35,Nebraska,8,,5.8,5.1,23,10,12,8,,,7,3,,,77.58,70.09,45.2,35.8,75.4
36,Texas A&M,9,,6.5,4.5,20,14,9,9,,,5,5,,,74.79,70.82,39.9,28.4,70.9
37,Wisconsin,5,,9,4.6,22,13,11,9,,,5,5,,,75.06,69.94,46.3,34.8,75.9
38,James Madison,12,,5.5,3.8,31,3,15,3,,,10,0,,,84.35,69.18,48,36.5,70.8
39,Duke,4,,10.9,6.1,24,8,15,5,,,7,3,,,79.84,67.44,48.2,37.7,72.2
40,Vermont,13,,2.5,3.8,28,6,15,1,,,10,0,,,72.32,62.97,45.6,34.4,72
41,Texas Tech,6,,7.8,4.5,23,10,11,7,,,6,4,,,75.58,69.33,45.3,36.5,77.8
42,NC State,11,,5.8,3.1,22,14,9,11,,,6,4,,,76.36,72.69,45,34.7,73.4
43,Kentucky,3,,10.6,2.4,23,9,13,5,,,7,3,,,89.44,79.69,49.7,41.2,77.3
44,Oakland,14,,2.6,-0.3,23,11,15,5,,,8,2,,,76.41,72.91,45,35.1,75.8
45,Florida,7,,8.6,3.4,24,11,11,7,,,6,4,,,85.14,78.54,45.6,34.2,71.2
46,Colorado,10,,6.3,3.3,25,10,13,7,,,8,2,,,79.3,70.7,49.3,39.4,77.8
47,Marquette,2,,8.6,6.4,25,9,14,6,,,6,4,,,78.29,69.71,47.8,35.8,71.5
48,Western KY,15,,-1,1.7,22,11,8,8,,,6,4,,,80.58,74.06,46.8,34,71.9
49,Purdue,1,,12.9,6.8,29,4,17,3,,,8,2,,,83.39,70.15,48.8,40.8,72.1
50,Grambling,16,,-4,-2.3,21,14,14,4,,,9,1,,,67.6,69.3,44,33.9,70.6
51,Utah State,8,,5,2.6,27,6,14,4,,,8,2,,,79.79,70.27,49.3,33.1,71.5
52,TCU,9,,5.9,5.9,21,12,9,9,,,5,5,,,79.24,71.24,46.5,35.6,73
53,Gonzaga,5,,10.1,4,25,7,14,2,,,9,1,,,84.88,68.97,51.6,35.4,72.1
54,McNeese,12,,5.5,3.6,30,3,17,1,,,10,0,,,80.42,61.52,49.3,38.8,69.1
